geo,unit,freq,iccs,TIME_PERIOD,value
AL,NR,A,ICCS0101,2008,88.0
AL,NR,A,ICCS0101,2009,82.0
AL,NR,A,ICCS0101,2010,118.0
AL,NR,A,ICCS0101,2011,124.0
AL,NR,A,ICCS0101,2012,126.0
AL,NR,A,ICCS0101,2013,107.0
AL,NR,A,ICCS0101,2014,98.0
AL,NR,A,ICCS0101,2015,54.0
AL,NR,A,ICCS0101,2016,71.0
AL,NR,A,ICCS0101,2017,52.0
AL,NR,A,ICCS0101,2018,51.0
AL,NR,A,ICCS0101,2019,58.0
AL,NR,A,ICCS0101,2020,52.0
AL,NR,A,ICCS0101,2021,61.0
AL0,NR,A,ICCS0101,2008,88.0
AL0,NR,A,ICCS0101,2009,82.0
AL0,NR,A,ICCS0101,2010,118.0
AL0,NR,A,ICCS0101,2011,124.0
AL0,NR,A,ICCS0101,2012,126.0
AL0,NR,A,ICCS0101,2013,107.0
AL0,NR,A,ICCS0101,2014,98.0
AL0,NR,A,ICCS0101,2015,54.0
AL0,NR,A,ICCS0101,2016,71.0
AL0,NR,A,ICCS0101,2017,52.0
AL0,NR,A,ICCS0101,2018,51.0
AL0,NR,A,ICCS0101,2019,58.0
AL0,NR,A,ICCS0101,2020,52.0
AL0,NR,A,ICCS0101,2021,61.0
AL01,NR,A,ICCS0101,2008,40.0
AL01,NR,A,ICCS0101,2009,37.0
AL01,NR,A,ICCS0101,2010,54.0
AL01,NR,A,ICCS0101,2011,53.0
AL01,NR,A,ICCS0101,2012,51.0
AL01,NR,A,ICCS0101,2013,49.0
AL01,NR,A,ICCS0101,2014,41.0
AL01,NR,A,ICCS0101,2015,19.0
AL01,NR,A,ICCS0101,2016,22.0
AL01,NR,A,ICCS0101,2017,19.0
AL01,NR,A,ICCS0101,2018,26.0
AL01,NR,A,ICCS0101,2019,18.0
AL01,NR,A,ICCS0101,2020,21.0
AL01,NR,A,ICCS0101,2021,21.0
AL011,NR,A,ICCS0101,2008,3.0
AL011,NR,A,ICCS0101,2009,4.0
AL011,NR,A,ICCS0101,2010,6.0
AL011,NR,A,ICCS0101,2011,8.0
AL011,NR,A,ICCS0101,2012,5.0
AL011,NR,A,ICCS0101,2013,7.0
AL011,NR,A,ICCS0101,2014,4.0
AL011,NR,A,ICCS0101,2015,1.0
AL011,NR,A,ICCS0101,2016,0.0
AL011,NR,A,ICCS0101,2017,3.0
AL011,NR,A,ICCS0101,2018,5.0
AL011,NR,A,ICCS0101,2019,3.0
AL011,NR,A,ICCS0101,2020,0.0
AL011,NR,A,ICCS0101,2021,4.0
AL012,NR,A,ICCS0101,2008,8.0
AL012,NR,A,ICCS0101,2009,15.0
AL012,NR,A,ICCS0101,2010,15.0
AL012,NR,A,ICCS0101,2011,16.0
AL012,NR,A,ICCS0101,2012,8.0
AL012,NR,A,ICCS0101,2013,13.0
AL012,NR,A,ICCS0101,2014,11.0
AL012,NR,A,ICCS0101,2015,5.0
AL012,NR,A,ICCS0101,2016,4.0
AL012,NR,A,ICCS0101,2017,6.0
AL012,NR,A,ICCS0101,2018,6.0
AL012,NR,A,ICCS0101,2019,4.0
AL012,NR,A,ICCS0101,2020,9.0
AL012,NR,A,ICCS0101,2021,3.0
AL013,NR,A,ICCS0101,2008,4.0
AL013,NR,A,ICCS0101,2009,3.0
AL013,NR,A,ICCS0101,2010,5.0
AL013,NR,A,ICCS0101,2011,1.0
AL013,NR,A,ICCS0101,2012,9.0
AL013,NR,A,ICCS0101,2013,3.0
AL013,NR,A,ICCS0101,2014,5.0
AL013,NR,A,ICCS0101,2015,1.0
AL013,NR,A,ICCS0101,2016,2.0
AL013,NR,A,ICCS0101,2017,1.0
AL013,NR,A,ICCS0101,2018,3.0
AL013,NR,A,ICCS0101,2019,0.0
AL013,NR,A,ICCS0101,2020,1.0
AL013,NR,A,ICCS0101,2021,1.0
AL014,NR,A,ICCS0101,2008,6.0
AL014,NR,A,ICCS0101,2009,9.0
AL014,NR,A,ICCS0101,2010,10.0
AL014,NR,A,ICCS0101,2011,14.0
AL014,NR,A,ICCS0101,2012,11.0
AL014,NR,A,ICCS0101,2013,15.0
AL014,NR,A,ICCS0101,2014,7.0
AL014,NR,A,ICCS0101,2015,6.0
AL014,NR,A,ICCS0101,2016,8.0
AL014,NR,A,ICCS0101,2017,3.0
AL014,NR,A,ICCS0101,2018,3.0
